player,tm,salary,cap_hit,season
Victor Bartley,MTL,800000,666667,2015
Jiri Tlusty,NJD,800000,800000,2015
Ryan White,PHI,800000,800000,2015
Matthew Nieto,SJS,792500,759167,2015
Colton Parayko,STL,792500,858750,2015
Chris Tierney,SJS,792500,711667,2015
Nikita Nesterov,TBL,792500,742500,2015
Kyle Rau,FLA,792500,858750,2015
Markus Granlund,VAN,792500,767500,2015
John Gibson,ANA,787500,721667,2015
Peter Holland,TOR,775000,775000,2015
Dmitrij Jaskin,STL,775000,775000,2015
Boone Jenner,CBJ,775000,778333,2015
Adam Clendening,EDM,761250,761250,2015
Carter Hutton,NSH,750000,725000,2015
Korbinian Holzer,ANA,750000,750000,2015
Steve Bernier,NYI,750000,750000,2015
Micheal Ferland,CGY,750000,825000,2015
Victor Rask,CAR,750000,680833,2015
Nate Schmidt,WSH,750000,812500,2015
Matt Halischuk,WPG,750000,750000,2015
Tomas Fleischmann,CHI,750000,750000,2015
Andreas Martinsen,COL,742500,742500,2015
Anthony Duclair,ARI,742500,772500,2015
Reid Boucher,NJD,742500,692500,2015
Brett Pesce,CAR,742500,809166,2015
Joonas Korpisalo,CBJ,742500,742500,2015
Ryan Dzingel,OTT,740000,715000,2015
Petr Mrazek,DET,737500,737500,2015
Teemu Pulkkinen,DET,735000,735000,2015
Calle Jarnkrok,NSH,735000,735000,2015
Dale Weise,CHI,717500,717500,2015
Scottie Upshall,STL,700000,700000,2015
Alexey Marchenko,DET,700000,666667,2015
Jean-Gabriel Pageau,OTT,700000,900000,2015
Jonas Gustavsson,BOS,700000,700000,2015
Pierre-Edouard Bellemare,PHI,700000,712500,2015
Nikita Kucherov,TBL,700000,711667,2015
Magnus Paajarvi,STL,700000,700000,2015
Martin Marincin,TOR,700000,700000,2015
Keith Kinkaid,NJD,700000,725000,2015
Cody Goloubef,CBJ,700000,750000,2015
Cal O'Reilly,BUF,700000,700000,2015
Shane Prince,NYI,700000,700000,2015
Colton Sceviour,DAL,700000,650000,2015
Chris Vande Velde,PHI,700000,712500,2015
Brad Boyes,TOR,700000,700000,2015
Brad Malone,CAR,700000,650000,2015
Artemi Panarin,CHI,700000,812500,2015
Taylor Chorney,WSH,700000,700000,2015
Logan Shaw,FLA,692500,674167,2015
Laurent Brossoit,EDM,692500,659167,2015
Noel Acciari,BOS,692500,792500,2015
Brayden McNabb,LAK,675000,650000,2015
Mattias Janmark,DAL,675000,733750,2015
Mikhail Grigorenko,COL,675000,675000,2015
Garrett Wilson,FLA,675000,675000,2015
Jack Skille,COL,675000,675000,2015
Garret Sparks,TOR,670000,670000,2015
Andreas Athanasiou,DET,667500,628333,2015
Nikita Soshnikov,TOR,667500,736666,2015
Scott Wilson,PIT,667500,655000,2015
Erik Gustafsson,CHI,667500,667500,2015
Niklas Treutle,ARI,667500,667500,2015
Nick Paul,OTT,667500,670000,2015
Viktor Stalberg,NSH,666666,666666,2015
Anthony Bitetto,NSH,665500,665500,2015
Bryan Rust,PIT,665000,652500,2015
Joseph Blandisi,NJD,665000,648333,2015
Garnet Hathaway,CGY,657500,690000,2015
Connor Carrick,TOR,655000,636667,2015
Nicolas Deslauriers,BUF,650000,637500,2015
Anthony Peluso,WPG,650000,675000,2015
Sven Andrighetto,MTL,650000,633333,2015
Zach Trotman,BOS,650000,625000,2015
Cedric Paquette,TBL,650000,633333,2015
Philipp Grubauer,WSH,650000,750000,2015
Andrew Bodnarchuk,COL,650000,650000,2015
Matt Murray,PIT,642500,620000,2015
Viktor Arvidsson,NSH,640000,631667,2015
Morgan Ellis,MTL,632500,632500,2015
Frank Corrado,TOR,632500,632500,2015
Ryan Carter,MIN,625000,625000,2015
Michal Jordan,CAR,625000,625000,2015
Brandon Manning,PHI,625000,625000,2015
David Schlemko,NJD,625000,625000,2015
Matt Tennyson,SJS,625000,625000,2015
Adam Burish,SJS,616666,616666,2015
Louis Domingue,ARI,605000,605000,2015
Joakim Nordstrom,CAR,605000,605000,2015
Klas Dahlbeck,ARI,605000,605000,2015
Steven Kampfer,FLA,600000,612500,2015
Joni Ortio,CGY,600000,600000,2015
Oscar Lindberg,NYR,600000,650000,2015
Dylan McIlrath,NYR,600000,600000,2015
Petter Granberg,NSH,600000,600000,2015
Jeff Zatkoff,PIT,600000,600000,2015
Michal Rozsival,CHI,600000,600000,2015
Nick Shore,LAK,600000,600000,2015
Alex Biega,VAN,600000,600000,2015
Tyler Kennedy,NJD,600000,600000,2015
Jon Marchessault,TBL,600000,600000,2015
Landon Ferraro,BOS,600000,600000,2015
Michael Hutchinson,WPG,600000,575000,2015
Vincent Trocheck,FLA,600000,661667,2015
Luke Glendening,DET,600000,628333,2015
Jordan Martinook,ARI,600000,612500,2015
Mark Barberio,MTL,600000,600000,2015
Jamie McBain,LAK,600000,600000,2015
Nate Prosser,MIN,600000,625000,2015
Derek Ryan,CAR,600000,600000,2015
David Warsofsky,NJD,600000,600000,2015
Tyler Randell,BOS,600000,600000,2015
Chris Wideman,OTT,600000,600000,2015
Dainius Zubrus,SJS,600000,600000,2015
Brandon Davidson,EDM,585000,585000,2015
Jean-Francois Berube,NYI,575000,562500,2015
Adam Cracknell,EDM,575000,575000,2015
Michael Latta,WSH,575000,575000,2015
Scott Darling,CHI,575000,587500,2015
Austin Watson,NSH,575000,575000,2015
Greg Pateryn,MTL,575000,562500,2015
Brandon Mashinter,CHI,575000,562500,2015
Eric Boulton,NYI,575000,575000,2015
Mike McKenna,FLA,575000,575000,2015
Scott Gomez,OTT,575000,575000,2015
Byron Froese,TOR,575000,575000,2015
Damon Severson,NJD,575000,605833,2015
Mike Condon,MTL,575000,575000,2015
Stanislav Galiev,WSH,575000,575000,2015
Kevin Porter,PIT,575000,575000,2015
Daniel Catenacci,BUF,575000,611667,2015
Andy Andreoff,LAK,575000,587500,2015
Chris Porter,MIN,575000,575000,2015
Dennis Rasmussen,CHI,575000,575000,2015
Bobby Farnham,NJD,575000,575000,2015
Stefan Matteau,MTL,575000,612500,2015
Marc Savard,FLA,575000,4027143,2015
Steven Oleksy,PIT,575000,575000,2015
Tom Kuhnhackl,PIT,575000,575000,2015
Ben Scrivens,EDM,552000,552000,2015
Chris Pronger,ARI,525000,4941429,2015
Mark Fistric,ANA,516666,516666,2015
Matt Cooke,MIN,500000,500000,2015
Maxime Talbot,COL,500000,900000,2015
Nicklas Grossmann,PHI,500000,500000,2015
Patrick Maroon,ANA,500000,500000,2015
Jim Harrison,CAR,450000,450000,2015
Jakub Kindl,DET,360000,360000,2015
Dale Weise,MTL,307500,307500,2015
Rich Clune,NSH,283333,283333,2015
Ilya Kovalchuk,NJD,250000,250000,2015
Christian Ehrhoff,LAK,225000,225000,2015
Carl Gunnarsson,TOR,200000,200000,2015
